product,neighbor_rank,neighbor,distance
Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,1,Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,0.0
Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,2,Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.676760749519329
Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,3,Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,0.676760749519329
Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,4,Massey Ferguson | 3308 | 86hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,1.4622045730308286
Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,5,Massey Ferguson | 3308 | 86hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,1.4622045730308286
Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,1,Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,0.0
Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,2,Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.676760749519329
Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,3,Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,0.676760749519329
Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,4,Massey Ferguson | 3308 | 86hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,1.4622045730308286
Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,5,Massey Ferguson | 3308 | 86hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,1.4622045730308286
Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,1,Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,1.6858739404357614e-07
Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,2,Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,0.7109762196789137
Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,3,Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,0.7109762196789137
Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,4,Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,7.894114309268964
Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,5,Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,7.894114309268964
Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,1,Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,1.6858739404357614e-07
Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,2,Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,0.7109762196789137
Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,3,Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,0.7109762196789137
Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,4,Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,7.894114309268964
Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,5,Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,7.894114309268964
Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,1,Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,0.0
Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,2,Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,0.7109762196788737
Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,3,Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.7109762196788737
Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,4,Massey Ferguson | 3308 | 86hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,1.4783518817423706
Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,5,Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,3.9376507847547253
Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,1,Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,0.0
Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,2,Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,0.7109762196788737
Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,3,Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.7109762196788737
Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,4,Massey Ferguson | 3308 | 86hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,1.4783518817423706
Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,5,Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,3.9376507847547253
Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,1,Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,0.0
Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,2,Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.676760749519329
Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,3,Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,0.676760749519329
Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,4,Massey Ferguson | 3308 | 86hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.7893070101760985
Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,5,Massey Ferguson | 3308 | 86hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,0.7893070101760985
Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,1,Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,0.0
Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,2,Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.676760749519329
Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,3,Massey Ferguson | 3306 | 67hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,0.676760749519329
Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,4,Massey Ferguson | 3308 | 86hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.7893070101760985
Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,5,Massey Ferguson | 3308 | 86hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,0.7893070101760985
Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,1,Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,0.0
Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,2,Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,0.7109762196789137
Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,3,Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,0.7109762196789137
Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,4,Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,7.894114309268965
Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,5,Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,7.894114309268965
Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,1,Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,0.0
Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,2,Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,0.7109762196789137
Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,3,Massey Ferguson | 3306 | 67hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard II,0.7109762196789137
Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,4,Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,7.894114309268965
Massey Ferguson | 3307 | 75hp | Sem Platform | Not Synchronized | 8x2 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Standard III,5,Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,7.894114309268965
Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,1,Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.0
Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,2,Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.7109762196788737
Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,3,Massey Ferguson | 3306 | 67hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,0.7109762196788737
Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,4,Massey Ferguson | 3308 | 86hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.7893070101761075
Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential I,5,Massey Ferguson | 3307 | 75hp | Cabin | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential III,3.9356405253859035
Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,1,Massey Ferguson | 3307 | 75hp | Sem Platform | Synchronized | 12x4 | No Shuttle | 59lpm | 2100kgf | 85l | VCR: 2 | 540 - Essential II,0.0
