hp_range,fruityard,maximum,number_of_gears,shuttle_Mechanical Shuttle,shuttle_No Shuttle,shuttle_No shuttle,shuttle_Power Shuttle,shift_position_center,shift_position_side,transmission_type_Not Synchronized,transmission_type_Not synchronized,transmission_type_Synchronized,injection_types_electronical,injection_types_mechanical,lifting_capacity,maximum_flow,maximum_torque,memo_speed_function,vcr,operator_environment_Cabin,operator_environment_Platform,operator_environment_Sem Platform,rated_pto_speed,seat_suspension_Mech. Vertical,seat_suspension_Pneumatic,control_interface_automatic,control_interface_button,control_interface_by lever,guidance_function,steering_wheel_adjustment_fixed,steering_wheel_adjustment_tilt+telescopic,steering_wheel_adjustment_tiltable,tank_capacity,telemetry,turning_radius,dashboard_analog,dashboard_digital,weight,outside_control_no,outside_control_optional,outside_control_yes,wheelbase
65.5,1,-1.4480673175668741,48.0,False,True,False,False,True,False,False,False,True,True,False,-1.6255743595020589,-0.5259189434453807,-1.3812541031152223,1.0,0.0,True,False,False,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.1324697578679828,True,False,False,-0.44136304390372205
65.5,1,-1.4480673175668741,48.0,False,True,False,False,True,False,False,False,True,True,False,-1.6255743595020589,-0.5259189434453807,-1.3812541031152223,1.0,0.0,True,False,False,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.1324697578679828,True,False,False,-0.44136304390372205
65.5,1,-1.4480673175668741,16.0,False,True,False,False,True,False,True,False,False,True,False,-1.6255743595020589,-0.5259189434453807,-1.3812541031152223,1.0,0.0,False,False,True,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.277738968276988,True,False,False,-0.44136304390372205
65.5,1,-1.4480673175668741,16.0,False,True,False,False,True,False,True,False,False,True,False,-1.6255743595020589,-0.5259189434453807,-1.3812541031152223,1.0,0.0,False,False,True,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.277738968276988,True,False,False,-0.44136304390372205
65.5,1,-1.4480673175668741,48.0,False,True,False,False,True,False,False,False,True,True,False,-1.6255743595020589,-0.5259189434453807,-1.3812541031152223,1.0,0.0,False,False,True,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.277738968276988,True,False,False,-0.44136304390372205
65.5,1,-1.4480673175668741,48.0,False,True,False,False,True,False,False,False,True,True,False,-1.6255743595020589,-0.5259189434453807,-1.3812541031152223,1.0,0.0,False,False,True,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.277738968276988,True,False,False,-0.44136304390372205
75.5,1,-1.044661947789486,48.0,False,True,False,False,True,False,False,False,True,True,False,-1.6255743595020589,-0.5259189434453807,-1.094547388882293,1.0,0.0,True,False,False,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.1324697578679828,True,False,False,-0.44136304390372205
75.5,1,-1.044661947789486,48.0,False,True,False,False,True,False,False,False,True,True,False,-1.6255743595020589,-0.5259189434453807,-1.094547388882293,1.0,0.0,True,False,False,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.1324697578679828,True,False,False,-0.44136304390372205
75.5,1,-1.044661947789486,16.0,False,True,False,False,True,False,True,False,False,True,False,-1.6255743595020589,-0.5259189434453807,-1.094547388882293,1.0,0.0,False,False,True,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.0598351526634804,True,False,False,-0.44136304390372205
75.5,1,-1.044661947789486,16.0,False,True,False,False,True,False,True,False,False,True,False,-1.6255743595020589,-0.5259189434453807,-1.094547388882293,1.0,0.0,False,False,True,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.0598351526634804,True,False,False,-0.44136304390372205
75.5,1,-1.044661947789486,48.0,False,True,False,False,True,False,False,False,True,True,False,-1.6255743595020589,-0.5259189434453807,-1.094547388882293,1.0,0.0,False,False,True,0.0,True,False,False,False,True,0.0,False,False,True,-1.430308962966162,1,0.0,True,False,-1.0598351526634804,True,False,False,-0.44136304390372205
